?_MCP (°),?_PIP (°),?_DIP (°)
-36.138,-34.72397142,-36.41066597
-36.139,-34.7247867,-36.41152086
-36.14,-34.72560192,-36.4123757
-36.141,-34.72641718,-36.41323057
-36.142,-34.72723237,-36.41408539
-36.143,-34.72804762,-36.41494023
-36.144,-34.72886279,-36.41579503
-36.145,-34.72967801,-36.41664985
-36.146,-34.73049317,-36.41750463
-36.147,-34.73130837,-36.41835943
-36.148,-34.73212351,-36.41921419
-36.149,-34.73293869,-36.42006897
-36.15,-34.73375381,-36.42092371
-36.151,-34.73456897,-36.42177847
-36.152,-34.73538406,-36.42263318
-36.153,-34.7361992,-36.42348792
-36.154,-34.73701428,-36.42434261
-36.155,-34.7378294,-36.42519733
-36.156,-34.73864446,-36.426052
-36.157,-34.73945956,-36.4269067
-36.158,-34.74027459,-36.42776135
-36.159,-34.74108967,-36.42861603
-36.16,-34.74190469,-36.42947066
-36.161,-34.74271975,-36.43032531
-36.162,-34.74353475,-36.43117992
-36.163,-34.74434979,-36.43203456
-36.164,-34.74516476,-36.43288914
-36.165,-34.74597978,-36.43374376
-36.166,-34.74679474,-36.43459832
-36.167,-34.74760974,-36.43545291
-36.168,-34.74842467,-36.43630746
-36.169,-34.74923966,-36.43716203
-36.17,-34.75005457,-36.43801656
-36.171,-34.75086953,-36.43887111
-36.172,-34.75168443,-36.43972561
-36.173,-34.75249937,-36.44058014
-36.174,-34.75331424,-36.44143462
-36.175,-34.75412916,-36.44228913
-36.176,-34.75494402,-36.44314359
-36.177,-34.75575892,-36.44399808
-36.178,-34.75657375,-36.44485252
-36.179,-34.75738863,-36.44570698
-36.18,-34.75820345,-36.4465614
-36.181,-34.75901831,-36.44741585
-36.182,-34.7598331,-36.44827024
-36.183,-34.76064794,-36.44912467
-36.184,-34.76146272,-36.44997905
-36.185,-34.76227754,-36.45083345
-36.186,-34.76309229,-36.4516878
-36.187,-34.76390709,-36.45254218
-36.188,-34.76472182,-36.45339652
-36.189,-34.7655366,-36.45425088
-36.19,-34.76635132,-36.45510519
-36.191,-34.76716608,-36.45595953
-36.192,-34.76798077,-36.45681383
-36.193,-34.76879551,-36.45766814
-36.194,-34.76961018,-36.45852242
-36.195,-34.7704249,-36.45937671
-36.196,-34.77123956,-36.46023096
-36.197,-34.77205426,-36.46108524
-36.198,-34.77286889,-36.46193947
-36.199,-34.77368357,-36.46279372
-36.2,-34.77449818,-36.46364793
-36.201,-34.77531284,-36.46450217
-36.202,-34.77612744,-36.46535635
-36.203,-34.77694208,-36.46621057
-36.204,-34.77775665,-36.46706473
